,Text of Tweet,# of Likes,# of Retweets,Date Tweeted,User,Sentiment of the Tweet,# of Media Items in Tweet
59,@michaelthups @LilNasX @corona Bitch we been knew. https://t.co/POg8LimPd8,1,0,Wed Sep 23 18:54:43 +0000 2020,hudi,neutral,1
60,@Scouse_ma @covid Same 🤦🏼‍♀️,0,0,Wed Sep 23 18:48:24 +0000 2020,Rachel Marsden,neutral,None
61,@TBPInvictus @hiltzikm Dr. Birx lost her #integrity when she bobbed her head behind #impotus45 as he proclaimed how he was going to kill people who have @covid,0,0,Wed Sep 23 18:21:34 +0000 2020,Anne Proffit,negative,None
62,@LilNasX @corona Maybe it'll listen to you smh,0,0,Wed Sep 23 17:59:52 +0000 2020,Yash,neutral,None
63,I hope you’re happy @covid https://t.co/kApBNQkLSZ,0,0,Wed Sep 23 17:25:47 +0000 2020,Asgardian,positive,None
64,you’ve literally ruined everything @covid,0,0,Wed Sep 23 17:17:07 +0000 2020,ً,neutral,None
65,@hey_itsNDO @covid deadass bc i'm tryna treat myself 👁,0,0,Wed Sep 23 17:15:32 +0000 2020,𝖓𝖎𝖓𝖊𝖙𝖞 ☁️,neutral,None
66,I’mma beat ya ass @covid https://t.co/NiBYLbKjoc https://t.co/tofDw9whNs,1,1,Wed Sep 23 17:15:00 +0000 2020,luke,neutral,1
67,I need to know if u gonna be at iiipoints before I buy these tix @covid,11,2,Wed Sep 23 17:13:59 +0000 2020,NDO,neutral,None
68,@jssacramento @garystriewski @coronaextrausa @corona @SnoopDogg @w_terrence @THEHermanCain @RealCandaceO @DavidJHarrisJr @theangiestanton @PARISDENNARD @PastorDScott @hodgetwins @DiamondandSilk @ShemekaMichelle @montaga @TheLeoTerrell @show_sharp @adriana_donati @LacyJohnsonMN @RealBrysonGray @DCtheCapital @dvs7_0 @SpaceForceUSA_ The #LiberalHypocrisy KNOWS NO BOUNDS,2,2,Wed Sep 23 16:59:41 +0000 2020,I’mAnAmerican🇺🇸💯🇺🇸 TEXT TRUMP 88022,negative,None
69,@jse_amor @garystriewski @coronaextrausa @corona @SnoopDogg @w_terrence @THEHermanCain @RealCandaceO @DavidJHarrisJr @theangiestanton @PARISDENNARD @PastorDScott @hodgetwins @DiamondandSilk @ShemekaMichelle @montaga @TheLeoTerrell @show_sharp @adriana_donati @LacyJohnsonMN @RealBrysonGray @DCtheCapital @dvs7_0 @SpaceForceUSA_ Corona supports this type of tolerance?,1,1,Wed Sep 23 16:42:01 +0000 2020,JLSmith_MAGA,negative,None
70,@LilNasX @corona Corona the beer be like:😟🍻🤭,0,0,Wed Sep 23 16:40:49 +0000 2020,bella🎃,neutral,None
71,"@jse_amor @garystriewski @coronaextrausa @corona @SnoopDogg @w_terrence @THEHermanCain @RealCandaceO @DavidJHarrisJr @theangiestanton @PARISDENNARD @PastorDScott @hodgetwins @DiamondandSilk @ShemekaMichelle @montaga @TheLeoTerrell @show_sharp @adriana_donati @LacyJohnsonMN @RealBrysonGray @DCtheCapital @dvs7_0 @SpaceForceUSA_ Wow, scrawny a$$ @SnoopDogg",1,1,Wed Sep 23 16:35:49 +0000 2020,JLSmith_MAGA,negative,None
72,@alexsobel will you back my  campaign to bring money from @covid fines back to #local communities to benefit them financially directly from the harm they have suffered by parties etc cc @leedslivenews @WLDispatch @LeedsNews https://t.co/95KPaRQ28v,0,0,Wed Sep 23 16:34:27 +0000 2020,"Stuart Long Esq,",positive,1
73,@AlecShelbrooke will you back my  campaign to bring money from @covid fines back to #local communities to benefit them financially directly from the harm they have suffered by parties etc cc @leedslivenews @WLDispatch @LeedsNews https://t.co/nY8nvAWueO,0,0,Wed Sep 23 16:33:55 +0000 2020,"Stuart Long Esq,",positive,1
74,@StuartAndrew will you back my  campaign to bring money from @covid fines back to #local communities to benefit them financially directly from the harm they have suffered by parties etc cc @leedslivenews @WLDispatch @LeedsNews https://t.co/Hf6njJlQbO,0,0,Wed Sep 23 16:33:22 +0000 2020,"Stuart Long Esq,",positive,1
75,"@garystriewski @coronaextrausa Yo...you gonna be hanging with another @corona spokesperson @SnoopDogg ? 

Asking for some Black friends
@w_terrence 
@THEHermanCain 
@RealCandaceO 
@DavidJHarrisJr 
@theangiestanton 
@PARISDENNARD 
@PastorDScott 
@hodgetwins 
@DiamondandSilk 

Hey @coronaextrausa #DidYouKnow 👇 https://t.co/nJWxtobYpw",4,12,Wed Sep 23 16:32:47 +0000 2020,I’mAnAmerican🇺🇸💯🇺🇸 TEXT TRUMP 88022,negative,1
76,@RachelReevesMP will you back my  campaign to bring money from @covid fines back to #local communities to benefit them financially directly from the harm they have suffered by parties etc https://t.co/7MYOTMs3sH,0,0,Wed Sep 23 16:32:07 +0000 2020,"Stuart Long Esq,",positive,1
77,"News: Indian Govt has sought huge loans from China, Bill Gates, IMF, World Bank, UN &amp; US. From Soneki Chidiya to Beggars Bowl. If we had NOT hugged @Corona, we would have bailed out all these countries. Even now it can be done. https://t.co/xTKR7hyFyg",2,1,Wed Sep 23 16:21:37 +0000 2020,Dr. Leo Rebello,positive,1
78,@michaelthups @BaAndABoAndABei @LilNasX @corona You seem like one of those guys that chills in the dark in his basement bc he’s paranoid to go outside,0,0,Wed Sep 23 16:09:48 +0000 2020,Nick Shaul,negative,None
79,@corona fuck off pls your making BTS sad,0,0,Wed Sep 23 15:48:14 +0000 2020,YTDN 💜 🐋 🕺🌺 ⁷,negative,None
80,@LilNasX @corona They really should make a post explaining that they're not endorsing the virus lol,0,0,Wed Sep 23 15:45:17 +0000 2020,Enimrac Infantino,positive,None
81,@AtlantaFalcons @NFL_DovKleiman @haydenrhurst @dak And @haydenrhurst and @dak don‘t seem to be afraid of @Corona either.,0,0,Wed Sep 23 15:40:34 +0000 2020,Grantler (Genderfreier Account),negative,None
82,"This is the scene of Patna Airport.
No SOP followed by passenger and by staff it self.

No one bother about it.
Bhgwan bhrose hai Bihar sir Patna
@COVIDNewsByMIB
@NitishKumar
@corona
@PMOIndia
@IndiGo6E
@HardeepSPuri https://t.co/XGoFF9k6af",1,0,Wed Sep 23 15:39:08 +0000 2020,keshav jain,neutral,1
83,the only way is the Swedish Way- Door groepsimmuniteit komen we van @covid-19 af. Failure to follow Sweden’s COVID success will cost future generations https://t.co/9SPemNzZLA via @YouTube #Corona,0,0,Wed Sep 23 15:05:28 +0000 2020,Pieter van Dam,negative,None
84,@michaelthups @LilNasX @corona Don’t trust the media.....so I CANT TRUST YOUUUUU,0,0,Wed Sep 23 15:03:12 +0000 2020,Yami iruma,neutral,None
85,@SenseLess709 @michaelthups @LilNasX @corona Show me some sources for that,0,0,Wed Sep 23 14:42:18 +0000 2020,putyouradhere,neutral,None
86,@michaelthups @LilNasX @corona Says the one believing in god instead of science,0,0,Wed Sep 23 14:41:54 +0000 2020,putyouradhere,neutral,None
87,@BBCScotlandNews @NicolaSturgeon @NicolaSturgeon @scotgov doesn’t care about the Scottish people while keeping the pubs open they only care about the money they will lose if they close them again so much for what’s best for the Scottish people lock down #2 we will c you soon in a few weeks/months @COVID_19,0,0,Wed Sep 23 14:33:12 +0000 2020,Andrew,positive,None
88,@LilNasX @corona the coronavirus just ended,0,0,Wed Sep 23 14:28:38 +0000 2020,jordan,neutral,None
89,@NicolaSturgeon @scotgov doesn’t care about the Scottish people while keeping the pubs open they only care about the money they will lose if they close them again so much for what’s best for the Scottish people lock down #2 we will c you soon in a few weeks/months @COVID_19,0,0,Wed Sep 23 14:25:57 +0000 2020,Andrew,positive,None
90,"Any bucks made out of schools opening @covid-19 millionaires will be blood money. Why rush to make quick money the KEMSA way?. Surely we are a cursed nation.

Oo God we are bring our kids n their teachers,please receive they.",0,0,Wed Sep 23 14:15:36 +0000 2020,Deco Nur,positive,None
91,.@covid BITCH.,7,0,Wed Sep 23 14:14:58 +0000 2020,derek ˣ,neutral,None
92,@covid you have seven days.,0,0,Wed Sep 23 14:13:43 +0000 2020,‏minً,neutral,None
93,i hate u @covid,5,0,Wed Sep 23 14:12:46 +0000 2020,mani ✜⁷ | ramy day!!,negative,None
94,@corona @Clehunnigan hey you guys i got a new high score can i get more likes than corona? https://t.co/ALin19mA42,4,0,Wed Sep 23 13:56:41 +0000 2020,Kyle • i failed no simp september,positive,1
95,FUCK YOU @CORONA FUCK YU,0,0,Wed Sep 23 13:50:38 +0000 2020,rey⁷,negative,None
96,@DebonairsPizza Mexican Fiesta and cold @corona will slap better rn,0,0,Wed Sep 23 13:16:17 +0000 2020,Monyana wa Motswana,negative,None
97,@LilNasX @corona Little Nas X has gone insane everybody...,0,0,Wed Sep 23 13:10:19 +0000 2020,aussieoscar,negative,None
98,@corona @Clehunnigan this got more likes than i’ve gotten in a while so follow me if you like milfs 👍 or not idk,0,0,Wed Sep 23 12:51:06 +0000 2020,Carla,positive,None
99,@Scouse_ma @covid In Vegas kids alone going back till January. There is no WiFi from 7am-4pm any where as all kids on a chrome book doing work. 😂😂,0,0,Wed Sep 23 12:42:01 +0000 2020,Alan Wilson,neutral,None
100,"@LilNasX @corona Dude, its still just beginning...",0,0,Wed Sep 23 12:22:56 +0000 2020,freshjuise,neutral,None
101,@KSI No matter what @corona has helped a lot of back benchers,0,0,Wed Sep 23 12:01:17 +0000 2020,Naveed Ahmed,neutral,None
102,No matter what @corona has helped a lot of back benchers,0,0,Wed Sep 23 12:00:33 +0000 2020,Naveed Ahmed,neutral,None
103,Fed’s Bullard Says U.S. Has Already Delivered Enough Fiscal Aid ... A year #ago we might’ve been able to say we’d agreed! But in today’s reality people aren’t dying from @COVID but from the lack of #resources to combat its ability to @spread! #rent$due 💸 https://t.co/lbQBy7YaDX,0,0,Wed Sep 23 11:50:25 +0000 2020,One of Love,positive,None
104,"@stripleighade @corona This makes me wonder how many angry tweets has the account of Corona the beer got since this mess started, I kinda feel for them. Anyways, hate you, COVID, totally on your side with this.",0,0,Wed Sep 23 11:17:01 +0000 2020,Žaneta🎓 | Golden Spice✨,negative,None
105,"@PoojaPrasanna4 Govt planning to handover @itsSSR case to @CIA it may also think to call @ISI .. Its primarily important. Who cares about @corona #GST #COVID19India #FarmersProtest #RajyaSabhaMPs protests. 

Jai #Indianmedia",0,0,Wed Sep 23 11:05:55 +0000 2020,Madhu Naik,positive,None
106,"@Scouse_ma @covid I think our kids are in the same school and in the same year. My kids been sent home as well but this has been coming all week. I knew it, my kid knew it but the school ploughed on regardless. I’m not blaming the school as such cos the guidance they’ve been given is abysmal",1,0,Wed Sep 23 10:46:41 +0000 2020,pitchblack,neutral,None
107,Damn @corona https://t.co/gIdwK0YHmt,1,0,Wed Sep 23 10:41:42 +0000 2020,Einstein,neutral,None
108,"Response from Calderdale Council to national restrictions announcement
@vsialliance @calderdale @restrictions @covid @increase @spike @coronavirus
#vsialliance #calderdale #restrictions #covid #increase #spike #coronavirus https://t.co/qoZQuTFkni",0,0,Wed Sep 23 10:19:39 +0000 2020,CdaleLowerValley,neutral,None
109,"Response from Calderdale Council to national restrictions announcement
@vsialliance @calderdale @restrictions @covid @increase @spike @coronavirus
#vsialliance #calderdale #restrictions #covid #increase #spike #coronavirus https://t.co/V2a695VLFZ",0,0,Wed Sep 23 10:19:07 +0000 2020,Staying Well Project,neutral,None
110,"Uremic 40.... The New Generation Anti-Gout Medication
@healthy @motivation @fit @lifestyle
@nutrition @training @covid @life @instagood
@healthyliving @food @diet @selfcare @coronavirus
@yoga https://t.co/akbkcLfJMV",0,0,Wed Sep 23 10:19:06 +0000 2020,Widmen Healthcare,positive,1
111,@Scouse_ma @covid Turning into a proper b#ld you,0,0,Wed Sep 23 10:17:55 +0000 2020,Ferher,neutral,None
112,"Response from Calderdale Council to national restrictions announcement
@vsialliance @calderdale @restrictions @covid @increase @spike @coronavirus
#vsialliance #calderdale #restrictions #covid #increase #spike #coronavirus https://t.co/tPp5VD2Ve2",0,0,Wed Sep 23 10:17:54 +0000 2020,halifaxnorthandeast,neutral,None
113,@Scouse_ma @covid You'll have to leave fighting it until after 10pm but make sure it's before 5am. Judging by the new rules it seems to be operating between those hours 👊,0,0,Wed Sep 23 09:55:28 +0000 2020,RedDan ⭐⭐⭐⭐⭐⭐,positive,None
114,@Scouse_ma @covid Schools should be provided with test kits and if one kid is diagnosed then test the rest. Too fuckin easy that.,1,0,Wed Sep 23 09:53:01 +0000 2020,Sappenin,positive,None
115,"@Scouse_ma @covid 2 weeks of lockdown with Google classroom, she'll be fewming! 🙂",1,0,Wed Sep 23 09:47:49 +0000 2020,Chris,neutral,None
116,@AllMeArse @covid Yep! That’s the one they’re currently locked in 😂,1,0,Wed Sep 23 09:37:58 +0000 2020,Scouse Ma,neutral,None
117,@Scouse_ma @covid Same here. Their year is just shut down and all the kids are sent for a covid test. Only allowed back after two weeks when they have the proof they were negative etc.,1,0,Wed Sep 23 09:34:33 +0000 2020,Stacey,negative,None
118,@MacBaaby @corona what is twitter tryna say,0,0,Wed Sep 23 09:33:02 +0000 2020,Kenisha Martins,neutral,None
119,"@Scouse_ma @covid My daughter has as well, school wanted an email for permission for her to get the bus home. She gets the bus there and back every day.

The B... A... by any chance?",2,0,Wed Sep 23 09:31:11 +0000 2020,Chris,neutral,None
120,@Scouse_ma @covid 2 weeks at home then?,1,0,Wed Sep 23 09:28:16 +0000 2020,Jas k 6 🏆 19 🏆,neutral,None
121,"@Scouse_ma @covid My kid came home with a cold which started over the weekend with a sore throat, as I'm in the at risk category you can imagine at first I was paranoid it was corona, the following gif was me. https://t.co/SX4sumtYxf",3,0,Wed Sep 23 09:22:57 +0000 2020,Martin Ⓜ The Red,negative,1
122,@Scouse_ma @covid Is that your new pet name for borris 🤣,0,0,Wed Sep 23 09:20:40 +0000 2020,Emshadows,positive,None
123,@Scouse_ma @covid How can all kids be sent home from school but footballers can still carry on playing footie an the person who tests positive is the only one sent home 😂😂 this is madness,2,0,Wed Sep 23 09:19:07 +0000 2020,.,positive,None
124,"Fuck sake my child has been sent home as someone in their year has tested positive for covid. I want a fight with this SMELLY, SCRUFFY BITCH @COVID",135,9,Wed Sep 23 09:16:53 +0000 2020,Scouse Ma,negative,None
125,@michaelthups @BaAndABoAndABei @LilNasX @corona okay alex jones calm down,0,0,Wed Sep 23 09:01:14 +0000 2020,ila,positive,None
126,@LilNasX @corona corona virus rates drop to 0,0,0,Wed Sep 23 08:59:55 +0000 2020,ila,neutral,None
127,@LilNasX @corona corona after seeing this tweet: https://t.co/hh5FPuHwt2,5,0,Wed Sep 23 08:45:23 +0000 2020,ステボ,neutral,1
128,Loving the fact that I can’t have my child and myself tested for @Covid cos there are no test in London. Ffs,1,0,Wed Sep 23 08:25:22 +0000 2020,Realistichwofbow,positive,None
129,@LilNasX @corona and has there been any more cases after this tweet? exactly 🙌🏻,0,0,Wed Sep 23 08:21:44 +0000 2020,Rose,positive,None
